R,D,D,W,W,D,W,U,L,L,L,L,W,U,W,D
R,R,D,R,W,D,W,U,W,U,D,R,U,U,L,L
W,R,D,D,W,R,R,L,L,W,D,D,L,U,U,D
U,R,R,R,R,R,W,W,U,W,D,D,W,D,W,D
U,W,D,W,U,W,W,L,L,L,W,W,L,D,L,L
R,R,D,W,R,R,R,U,W,U,W,U,L,L,L,L
R,R,R,R,R,R,R,W,U,W,R,U,W,W,U,D
W,R,R,U,W,W,L,L,R,L,L,U,W,D,U,W
W,W,L,U,W,U,W,W,U,W,U,U,D,L,L,W
R,R,D,D,D,W,U,L,U,L,U,W,L,L,U,U
W,W,D,L,R,D,U,W,D,W,U,W,W,U,U,U
D,L,W,L,W,D,W,U,L,L,L,L,W,W,U,U
L,L,W,R,R,W,W,U,U,L,L,L,L,W,L,U
W,W,W,R,U,L,L,R,U,U,W,U,U,L,L,L
D,W,D,R,U,U,W,U,U,U,L,U,U,U,U,L
D,L,L,D,W,W,R,U,U,U,W,U,U,W,L,L
