R,R,R,R,R,D,W,U,L,L,L,L,W,D,D,L
R,R,U,U,W,R,R,U,U,U,U,L,L,L,L,L
R,U,R,D,W,R,R,U,U,U,U,L,L,L,L,L
R,R,R,R,R,R,U,U,U,W,U,R,W,U,U,U
R,R,R,R,U,U,W,U,U,L,U,W,R,U,U,U
U,U,R,R,U,U,R,U,U,U,U,L,L,U,U,U
U,R,R,U,U,U,R,U,U,W,U,U,L,L,U,U
U,R,R,U,U,U,R,U,U,L,U,U,W,U,U,U
U,R,U,U,W,L,U,U,U,U,U,L,L,L,U,U
R,R,R,R,R,R,R,U,L,U,U,U,L,L,L,U
U,W,R,R,U,U,U,U,U,U,U,U,L,L,D,D
R,R,R,U,U,U,U,U,U,U,U,U,L,W,D,D
U,U,W,U,U,R,U,U,U,U,U,R,R,D,D,L
U,U,R,U,R,R,U,U,U,U,R,R,R,D,D,D
U,R,R,R,R,U,U,U,R,U,R,R,R,R,D,D
R,R,R,D,L,W,U,U,U,U,W,U,U,W,D,L
